,precision,recall,f1-score,support
"Staffordshire bullterrier, Staffordshire bull terrier",0.6862745098039216,0.7,0.693069306930693,50
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.625,0.7,0.6603773584905661,50
Bedlington terrier,0.8846153846153846,0.92,0.9019607843137256,50
Border terrier,0.7894736842105263,0.9,0.8411214953271027,50
Kerry blue terrier,0.8541666666666666,0.82,0.836734693877551,50
Irish terrier,0.5735294117647058,0.78,0.6610169491525424,50
Norfolk terrier,0.8,0.72,0.7578947368421052,50
Norwich terrier,0.7450980392156863,0.76,0.7524752475247525,50
Yorkshire terrier,0.68,0.68,0.68,50
wire-haired fox terrier,0.85,0.68,0.7555555555555556,50
Lakeland terrier,0.5064935064935064,0.78,0.6141732283464567,50
"Sealyham terrier, Sealyham",0.9761904761904762,0.82,0.8913043478260869,50
"Airedale, Airedale terrier",0.9148936170212766,0.86,0.8865979381443299,50
"cairn, cairn terrier",0.7,0.84,0.7636363636363636,50
Australian terrier,0.6136363636363636,0.54,0.574468085106383,50
"Dandie Dinmont, Dandie Dinmont terrier",0.9130434782608695,0.84,0.8749999999999999,50
"Boston bull, Boston terrier",0.8103448275862069,0.94,0.8703703703703703,50
miniature schnauzer,0.68,0.68,0.68,50
giant schnauzer,0.7884615384615384,0.82,0.803921568627451,50
standard schnauzer,0.7959183673469388,0.78,0.7878787878787878,50
"Scotch terrier, Scottish terrier, Scottie",0.78,0.78,0.78,50
"Tibetan terrier, chrysanthemum dog",0.7708333333333334,0.74,0.7551020408163266,50
"silky terrier, Sydney silky",0.7551020408163265,0.74,0.7474747474747474,50
soft-coated wheaten terrier,0.7560975609756098,0.62,0.6813186813186813,50
West Highland white terrier,0.8070175438596491,0.92,0.8598130841121495,50
"Lhasa, Lhasa apso",0.7446808510638298,0.7,0.7216494845360825,50
flat-coated retriever,0.7547169811320755,0.8,0.7766990291262137,50
curly-coated retriever,0.9130434782608695,0.84,0.8749999999999999,50
golden retriever,0.8235294117647058,0.84,0.8316831683168315,50
Labrador retriever,0.6451612903225806,0.8,0.7142857142857142,50
Chesapeake Bay retriever,0.8958333333333334,0.86,0.8775510204081632,50
German short-haired pointer,0.9302325581395349,0.8,0.8602150537634408,50
"vizsla, Hungarian pointer",0.8,0.8,0.8000000000000002,50
English setter,0.8695652173913043,0.8,0.8333333333333333,50
"Irish setter, red setter",0.8958333333333334,0.86,0.8775510204081632,50
Gordon setter,0.9583333333333334,0.92,0.9387755102040817,50
Brittany spaniel,0.8148148148148148,0.88,0.8461538461538461,50
"clumber, clumber spaniel",0.9787234042553191,0.92,0.9484536082474226,50
"English springer, English springer spaniel",0.8032786885245902,0.98,0.882882882882883,50
Welsh springer spaniel,0.8823529411764706,0.9,0.8910891089108911,50
"cocker spaniel, English cocker spaniel, cocker",0.78,0.78,0.78,50
Sussex spaniel,0.925,0.74,0.8222222222222222,50
Irish water spaniel,0.9318181818181818,0.82,0.8723404255319149,50
kuvasz,0.8541666666666666,0.82,0.836734693877551,50
schipperke,0.7758620689655172,0.9,0.8333333333333334,50
groenendael,0.7857142857142857,0.88,0.830188679245283,50
malinois,0.7666666666666667,0.92,0.8363636363636363,50
briard,0.7804878048780488,0.64,0.7032967032967035,50
kelpie,0.72,0.72,0.72,50
komondor,1.0,0.9,0.9473684210526316,50
"Old English sheepdog, bobtail",0.8571428571428571,0.96,0.9056603773584904,50
"Shetland sheepdog, Shetland sheep dog, Shetland",0.9117647058823529,0.62,0.7380952380952381,50
collie,0.5737704918032787,0.7,0.6306306306306306,50
Border collie,0.6935483870967742,0.86,0.7678571428571428,50
"Bouvier des Flandres, Bouviers des Flandres",0.8666666666666667,0.78,0.8210526315789474,50
Rottweiler,0.7014925373134329,0.94,0.8034188034188033,50
