,precision,recall,f1-score,support
Kerry blue terrier,0.6551724137931034,0.76,0.7037037037037037,50
Irish terrier,0.75,0.48,0.5853658536585366,50
Norfolk terrier,0.85,0.34,0.4857142857142858,50
Norwich terrier,0.6136363636363636,0.54,0.574468085106383,50
Yorkshire terrier,0.5306122448979592,0.52,0.5252525252525252,50
wire-haired fox terrier,0.8461538461538461,0.44,0.5789473684210525,50
Lakeland terrier,0.4444444444444444,0.48,0.4615384615384615,50
"Sealyham terrier, Sealyham",0.8409090909090909,0.74,0.7872340425531915,50
"Airedale, Airedale terrier",0.8571428571428571,0.48,0.6153846153846153,50
"cairn, cairn terrier",0.7777777777777778,0.28,0.4117647058823529,50
Australian terrier,0.5517241379310345,0.32,0.4050632911392405,50
"Dandie Dinmont, Dandie Dinmont terrier",0.7647058823529411,0.78,0.7722772277227723,50
"Boston bull, Boston terrier",0.6363636363636364,0.56,0.5957446808510639,50
miniature schnauzer,0.7073170731707317,0.58,0.6373626373626374,50
giant schnauzer,0.5087719298245614,0.58,0.5420560747663552,50
standard schnauzer,0.7446808510638298,0.7,0.7216494845360825,50
"Scotch terrier, Scottish terrier, Scottie",0.7804878048780488,0.64,0.7032967032967035,50
"Tibetan terrier, chrysanthemum dog",0.5714285714285714,0.32,0.41025641025641024,50
"silky terrier, Sydney silky",0.7857142857142857,0.44,0.5641025641025641,50
soft-coated wheaten terrier,0.42424242424242425,0.56,0.4827586206896552,50
West Highland white terrier,0.803921568627451,0.82,0.8118811881188118,50
"Lhasa, Lhasa apso",0.7916666666666666,0.38,0.5135135135135135,50
flat-coated retriever,0.5,0.42,0.4565217391304348,50
curly-coated retriever,0.6181818181818182,0.68,0.6476190476190475,50
golden retriever,0.5625,0.54,0.5510204081632654,50
Labrador retriever,0.35051546391752575,0.68,0.46258503401360546,50
Chesapeake Bay retriever,0.7857142857142857,0.44,0.5641025641025641,50
German short-haired pointer,0.5416666666666666,0.52,0.5306122448979592,50
"vizsla, Hungarian pointer",0.6829268292682927,0.56,0.6153846153846154,50
English setter,0.47058823529411764,0.32,0.38095238095238104,50
"Irish setter, red setter",0.8461538461538461,0.66,0.7415730337078651,50
Gordon setter,0.6521739130434783,0.6,0.6250000000000001,50
Brittany spaniel,0.8048780487804879,0.66,0.7252747252747254,50
"clumber, clumber spaniel",0.7068965517241379,0.82,0.7592592592592593,50
"English springer, English springer spaniel",0.52,0.78,0.624,50
Welsh springer spaniel,0.75,0.9,0.8181818181818182,50
"cocker spaniel, English cocker spaniel, cocker",0.421875,0.54,0.4736842105263158,50
Sussex spaniel,0.8,0.64,0.7111111111111111,50
Irish water spaniel,0.7692307692307693,0.6,0.6741573033707865,50
kuvasz,0.5901639344262295,0.72,0.6486486486486487,50
schipperke,0.5714285714285714,0.64,0.6037735849056605,50
groenendael,0.775,0.62,0.6888888888888889,50
malinois,0.6756756756756757,0.5,0.5747126436781609,50
briard,0.7407407407407407,0.4,0.5194805194805194,50
kelpie,0.6,0.42,0.49411764705882355,50
komondor,0.8,0.72,0.7578947368421052,50
"Old English sheepdog, bobtail",0.918918918918919,0.68,0.7816091954022989,50
"Shetland sheepdog, Shetland sheep dog, Shetland",0.8571428571428571,0.36,0.5070422535211268,50
collie,0.6590909090909091,0.58,0.6170212765957446,50
Border collie,0.6428571428571429,0.54,0.5869565217391305,50
"Bouvier des Flandres, Bouviers des Flandres",0.6551724137931034,0.38,0.48101265822784806,50
