,precision,recall,f1-score,support
curly-coated retriever,0.2857142857142857,0.16,0.20512820512820512,50
golden retriever,0.42857142857142855,0.06,0.10526315789473684,50
Labrador retriever,0.3076923076923077,0.16,0.2105263157894737,50
Chesapeake Bay retriever,0.42857142857142855,0.06,0.10526315789473684,50
German short-haired pointer,0.7272727272727273,0.16,0.2622950819672131,50
"vizsla, Hungarian pointer",0.5714285714285714,0.08,0.14035087719298248,50
English setter,1.0,0.02,0.0392156862745098,50
"Irish setter, red setter",0.5,0.12,0.1935483870967742,50
Gordon setter,0.5,0.12,0.1935483870967742,50
Brittany spaniel,0.19230769230769232,0.1,0.13157894736842105,50
"clumber, clumber spaniel",0.3684210526315789,0.28,0.3181818181818182,50
"English springer, English springer spaniel",0.5,0.08,0.13793103448275865,50
Welsh springer spaniel,0.29411764705882354,0.2,0.2380952380952381,50
"cocker spaniel, English cocker spaniel, cocker",0.0,0.0,0.0,50
Sussex spaniel,0.45454545454545453,0.1,0.16393442622950818,50
Irish water spaniel,0.48,0.24,0.32,50
kuvasz,0.28205128205128205,0.22,0.24719101123595508,50
schipperke,0.2549019607843137,0.26,0.25742574257425743,50
groenendael,0.16883116883116883,0.26,0.2047244094488189,50
malinois,0.2972972972972973,0.22,0.2528735632183908,50
briard,0.4117647058823529,0.14,0.208955223880597,50
kelpie,0.6666666666666666,0.12,0.20338983050847456,50
komondor,0.631578947368421,0.24,0.34782608695652173,50
"Old English sheepdog, bobtail",0.5142857142857142,0.36,0.4235294117647058,50
"Shetland sheepdog, Shetland sheep dog, Shetland",0.0,0.0,0.0,50
collie,0.7777777777777778,0.14,0.23728813559322035,50
Border collie,0.7142857142857143,0.1,0.1754385964912281,50
"Bouvier des Flandres, Bouviers des Flandres",0.1366906474820144,0.38,0.20105820105820107,50
Rottweiler,0.45454545454545453,0.1,0.16393442622950818,50
"German shepherd, German shepherd dog, German police dog, alsatian",0.16666666666666666,0.02,0.03571428571428571,50
"Doberman, Doberman pinscher",1.0,0.04,0.07692307692307693,50
miniature pinscher,0.0,0.0,0.0,50
Greater Swiss Mountain dog,0.42857142857142855,0.06,0.10526315789473684,50
Bernese mountain dog,0.7777777777777778,0.14,0.23728813559322035,50
Appenzeller,0.2553191489361702,0.24,0.24742268041237112,50
EntleBucher,1.0,0.02,0.0392156862745098,50
boxer,0.5,0.02,0.038461538461538464,50
bull mastiff,0.5,0.1,0.16666666666666669,50
Tibetan mastiff,0.5833333333333334,0.28,0.3783783783783784,50
French bulldog,1.0,0.02,0.0392156862745098,50
Great Dane,0.02631578947368421,0.02,0.022727272727272724,50
"Saint Bernard, St Bernard",0.25806451612903225,0.16,0.19753086419753085,50
"Eskimo dog, husky",0.6666666666666666,0.04,0.07547169811320754,50
"malamute, malemute, Alaskan malamute",1.0,0.04,0.07692307692307693,50
Siberian husky,0.4444444444444444,0.08,0.13559322033898308,50
"dalmatian, coach dog, carriage dog",0.0,0.0,0.0,50
"affenpinscher, monkey pinscher, monkey dog",0.4782608695652174,0.22,0.30136986301369867,50
basenji,0.6666666666666666,0.04,0.07547169811320754,50
"pug, pug-dog",1.0,0.06,0.11320754716981131,50
Leonberg,0.6086956521739131,0.28,0.3835616438356165,50
"Newfoundland, Newfoundland dog",0.17543859649122806,0.2,0.18691588785046728,50
Great Pyrenees,0.1694915254237288,0.2,0.1834862385321101,50
"Samoyed, Samoyede",0.5192307692307693,0.54,0.5294117647058824,50
Pomeranian,0.6666666666666666,0.12,0.20338983050847456,50
"chow, chow chow",0.13333333333333333,0.56,0.2153846153846154,50
keeshond,0.23770491803278687,0.58,0.33720930232558133,50
Brabancon griffon,0.8,0.08,0.14545454545454545,50
"Pembroke, Pembroke Welsh corgi",0.0,0.0,0.0,50
"Cardigan, Cardigan Welsh corgi",0.5,0.04,0.07407407407407407,50
toy poodle,0.16666666666666666,0.02,0.03571428571428571,50
miniature poodle,0.5,0.04,0.07407407407407407,50
standard poodle,0.06779661016949153,0.08,0.07339449541284404,50
Mexican hairless,0.6923076923076923,0.18,0.28571428571428575,50
"timber wolf, grey wolf, gray wolf, Canis lupus",0.25,0.02,0.037037037037037035,50
"white wolf, Arctic wolf, Canis lupus tundrarum",0.3076923076923077,0.32,0.3137254901960784,50
"red wolf, maned wolf, Canis rufus, Canis niger",0.5263157894736842,0.2,0.28985507246376807,50
"coyote, prairie wolf, brush wolf, Canis latrans",0.42857142857142855,0.12,0.1875,50
"dingo, warrigal, warragal, Canis dingo",0.8333333333333334,0.1,0.17857142857142858,50
"dhole, Cuon alpinus",0.16666666666666666,0.16,0.16326530612244897,50
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.5,0.04,0.07407407407407407,50
"hyena, hyaena",0.3333333333333333,0.02,0.03773584905660377,50
"red fox, Vulpes vulpes",1.0,0.04,0.07692307692307693,50
