,precision,recall,f1-score,support
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.38596491228070173,0.44,0.411214953271028,50
"hyena, hyaena",0.3055555555555556,0.22,0.2558139534883721,50
"red fox, Vulpes vulpes",0.4444444444444444,0.08,0.13559322033898308,50
"kit fox, Vulpes macrotis",0.16666666666666666,0.04,0.06451612903225806,50
"Arctic fox, white fox, Alopex lagopus",0.5625,0.18,0.2727272727272727,50
"grey fox, gray fox, Urocyon cinereoargenteus",0.1388888888888889,0.2,0.1639344262295082,50
"tabby, tabby cat",0.625,0.1,0.1724137931034483,50
tiger cat,0.2,0.04,0.06666666666666667,50
Persian cat,0.375,0.06,0.10344827586206896,50
"Siamese cat, Siamese",0.6388888888888888,0.46,0.5348837209302325,50
Egyptian cat,0.16666666666666666,0.06,0.08823529411764705,50
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",0.27450980392156865,0.28,0.27722772277227725,50
"lynx, catamount",0.2619047619047619,0.22,0.2391304347826087,50
"leopard, Panthera pardus",0.1452991452991453,0.34,0.2035928143712575,50
"snow leopard, ounce, Panthera uncia",0.40476190476190477,0.34,0.36956521739130443,50
"jaguar, panther, Panthera onca, Felis onca",0.2903225806451613,0.18,0.22222222222222224,50
"lion, king of beasts, Panthera leo",0.2978723404255319,0.28,0.288659793814433,50
"tiger, Panthera tigris",0.37254901960784315,0.38,0.37623762376237624,50
"cheetah, chetah, Acinonyx jubatus",0.07667731629392971,0.48,0.13223140495867766,50
"brown bear, bruin, Ursus arctos",0.21212121212121213,0.14,0.1686746987951807,50
"American black bear, black bear, Ursus americanus, Euarctos americanus",0.2894736842105263,0.22,0.25,50
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.25,0.4,0.3076923076923077,50
"sloth bear, Melursus ursinus, Ursus ursinus",0.6,0.12,0.19999999999999998,50
mongoose,0.03816793893129771,0.1,0.055248618784530384,50
"meerkat, mierkat",0.5263157894736842,0.2,0.28985507246376807,50
tiger beetle,0.13432835820895522,0.18,0.15384615384615385,50
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.2,0.4,0.26666666666666666,50
"ground beetle, carabid beetle",0.027777777777777776,0.02,0.023255813953488372,50
"long-horned beetle, longicorn, longicorn beetle",0.05172413793103448,0.06,0.05555555555555556,50
"leaf beetle, chrysomelid",0.14285714285714285,0.18,0.15929203539823006,50
dung beetle,0.06565656565656566,0.26,0.10483870967741937,50
rhinoceros beetle,0.06278026905829596,0.28,0.10256410256410256,50
weevil,0.05263157894736842,0.18,0.08144796380090497,50
fly,0.045454545454545456,0.02,0.027777777777777776,50
bee,0.11290322580645161,0.14,0.125,50
"ant, emmet, pismire",0.036458333333333336,0.14,0.05785123966942149,50
"grasshopper, hopper",0.05405405405405406,0.04,0.045977011494252866,50
cricket,0.047619047619047616,0.02,0.028169014084507043,50
"walking stick, walkingstick, stick insect",0.11538461538461539,0.06,0.07894736842105263,50
"cockroach, roach",0.047619047619047616,0.08,0.059701492537313425,50
"mantis, mantid",0.32,0.16,0.21333333333333335,50
"cicada, cicala",0.06451612903225806,0.04,0.04938271604938271,50
leafhopper,0.5,0.12,0.1935483870967742,50
"lacewing, lacewing fly",0.18518518518518517,0.1,0.12987012987012986,50
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.017543859649122806,0.04,0.024390243902439022,50
damselfly,0.13636363636363635,0.12,0.1276595744680851,50
admiral,0.19607843137254902,0.2,0.198019801980198,50
"ringlet, ringlet butterfly",0.0,0.0,0.0,50
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",0.19469026548672566,0.44,0.26993865030674846,50
cabbage butterfly,0.4482758620689655,0.26,0.3291139240506329,50
"sulphur butterfly, sulfur butterfly",0.3333333333333333,0.24,0.27906976744186046,50
"lycaenid, lycaenid butterfly",0.15217391304347827,0.14,0.14583333333333334,50
"starfish, sea star",0.046511627906976744,0.08,0.05882352941176471,50
sea urchin,0.13924050632911392,0.22,0.17054263565891473,50
"sea cucumber, holothurian",0.05,0.02,0.02857142857142857,50
"wood rabbit, cottontail, cottontail rabbit",0.3181818181818182,0.14,0.19444444444444445,50
hare,0.32142857142857145,0.18,0.23076923076923075,50
"Angora, Angora rabbit",0.6923076923076923,0.18,0.28571428571428575,50
hamster,0.6666666666666666,0.12,0.20338983050847456,50
"porcupine, hedgehog",0.29411764705882354,0.1,0.14925373134328357,50
"fox squirrel, eastern fox squirrel, Sciurus niger",0.078125,0.1,0.08771929824561403,50
marmot,0.12903225806451613,0.16,0.14285714285714285,50
beaver,0.16666666666666666,0.02,0.03571428571428571,50
"guinea pig, Cavia cobaya",0.2777777777777778,0.1,0.14705882352941177,50
sorrel,0.6,0.18,0.2769230769230769,50
zebra,0.5666666666666667,0.34,0.425,50
"hog, pig, grunter, squealer, Sus scrofa",0.05263157894736842,0.02,0.028985507246376812,50
"wild boar, boar, Sus scrofa",0.14814814814814814,0.16,0.15384615384615383,50
warthog,0.10526315789473684,0.12,0.11214953271028036,50
"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.15702479338842976,0.38,0.2222222222222222,50
ox,0.0,0.0,0.0,50
"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",0.25,0.1,0.14285714285714288,50
bison,0.358974358974359,0.28,0.3146067415730337,50
"ram, tup",0.15789473684210525,0.18,0.16822429906542055,50
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.23809523809523808,0.2,0.21739130434782608,50
"ibex, Capra ibex",0.19047619047619047,0.16,0.17391304347826086,50
hartebeest,0.5,0.18,0.2647058823529412,50
"impala, Aepyceros melampus",0.22413793103448276,0.26,0.24074074074074073,50
gazelle,0.1276595744680851,0.12,0.12371134020618556,50
"Arabian camel, dromedary, Camelus dromedarius",0.09259259259259259,0.2,0.12658227848101264,50
llama,0.47058823529411764,0.16,0.23880597014925375,50
weasel,0.0,0.0,0.0,50
mink,0.2857142857142857,0.04,0.07017543859649124,50
"polecat, fitch, foulmart, foumart, Mustela putorius",0.46153846153846156,0.12,0.19047619047619047,50
"black-footed ferret, ferret, Mustela nigripes",0.2,0.08,0.11428571428571428,50
otter,0.16129032258064516,0.1,0.12345679012345678,50
"skunk, polecat, wood pussy",0.5833333333333334,0.14,0.22580645161290325,50
badger,0.6666666666666666,0.32,0.43243243243243246,50
armadillo,0.1368421052631579,0.26,0.17931034482758623,50
"three-toed sloth, ai, Bradypus tridactylus",0.2,0.04,0.06666666666666667,50
"orangutan, orang, orangutang, Pongo pygmaeus",0.5,0.08,0.13793103448275865,50
"gorilla, Gorilla gorilla",0.2222222222222222,0.12,0.15584415584415584,50
"chimpanzee, chimp, Pan troglodytes",0.375,0.06,0.10344827586206896,50
"gibbon, Hylobates lar",0.35135135135135137,0.26,0.2988505747126437,50
"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.2,0.14,0.1647058823529412,50
"guenon, guenon monkey",0.25,0.18,0.20930232558139533,50
"patas, hussar monkey, Erythrocebus patas",0.6111111111111112,0.22,0.3235294117647059,50
baboon,0.2702702702702703,0.2,0.22988505747126436,50
macaque,0.391304347826087,0.18,0.2465753424657534,50
langur,0.30434782608695654,0.14,0.19178082191780824,50
"colobus, colobus monkey",0.5,0.24,0.32432432432432434,50
"proboscis monkey, Nasalis larvatus",0.5909090909090909,0.26,0.36111111111111116,50
marmoset,0.2413793103448276,0.14,0.17721518987341772,50
"capuchin, ringtail, Cebus capucinus",0.25,0.06,0.0967741935483871,50
"howler monkey, howler",0.06349206349206349,0.08,0.07079646017699115,50
"titi, titi monkey",0.26666666666666666,0.08,0.12307692307692307,50
"spider monkey, Ateles geoffroyi",0.04878048780487805,0.04,0.043956043956043966,50
"squirrel monkey, Saimiri sciureus",0.3939393939393939,0.26,0.3132530120481928,50
"Madagascar cat, ring-tailed lemur, Lemur catta",0.13043478260869565,0.18,0.1512605042016807,50
"indri, indris, Indri indri, Indri brevicaudatus",0.2727272727272727,0.18,0.21686746987951808,50
"Indian elephant, Elephas maximus",0.14285714285714285,0.14,0.1414141414141414,50
"African elephant, Loxodonta africana",0.3137254901960784,0.32,0.3168316831683168,50
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",0.8518518518518519,0.46,0.5974025974025975,50
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",0.34,0.34,0.34,50
"barracouta, snoek",0.0,0.0,0.0,50
eel,0.0,0.0,0.0,50
"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.08695652173913043,0.08,0.08333333333333333,50
